告警事件零增量|166|166|true
Incident 零增量|7|7|true
RcaRun 零增量|142|142|true
Claim 零增量|0|0|true
发布零增量|71|71|true
候选通知零增量|71|71|true
窗口内无工具账本新增（无 RCA run 即无影子调用）|111|111|true
holmes run 与 incident 同 generation|1|1|true
holmes 报告验证态非空|yes|yes|true
影子 run 与 holmes 同 incident|1|1|true
影子 run 与 holmes 同 generation|1|1|true
Prometheus 证据存在（真实源）|yes|yes|true
Logs/Change replay 证据存在（fixture 明示）|yes|yes|true
证据行 payload_digest 无空|0|0|true
DAG 任务终态闭合|0|0|true
两路同一 input snapshot（影子盖章==holmes 调查材料）|3e8f815fbf6f52adafc3ae2c89d9951266983f0971466598c732740b9c720802|3e8f815fbf6f52adafc3ae2c89d9951266983f0971466598c732740b9c720802|true
确定 claim 均引用证据（无证据不产确认根因）|0|0|true
影子 run 零报告行|0|0|true
影子 run 零发布行|0|0|true
影子 run 终于 REPORTING（零伪造 SUCCEEDED）|1|1|true
轮 A（有变更证据）Claim 引用 artifact|0|0|true
轮 B（源移除）零 change 证据|0|0|true
轮 B 零确定性 TRUE 变更根因|0|0|true
轮 B 影子诚实终态（REPORTING，不伪造成功）|1|1|true
两轮 snapshot_digest 存在|yes|yes|true
fixture 变化必须改变 snapshot|yes|yes|true
轮 A 报告恰一行（未被轮 B 反改）|1|1|true
伪终态（SUCCESS 无 settle 时间）为零|0|0|true
usage 缺失不伪造零 token|0|0|true
旧代证据不进新代快照（迟到不补写）|0|0|true
UNKNOWN 不伪装成成功落账|0|0|true
Metrics 侧原始证据保留|yes|yes|true
Logs/Change 侧原始证据保留|yes|yes|true
冲突 claim 零确定性 TRUE（禁数量/置信度/LLM 自述裁决）|0|0|true
旧代 run 终态后零任务推进（迟到全 STALE/拒收）|0|0|true
N+1 快照零 N 代成员（跨代混入为零）|0|0|true
旧代 run 终态后零新增工具调用|0|0|true
被拒调用零成功（Gateway 唯一咽喉）|0|0|true
原因码全部在冻结十码内（无外部内容透传）|0|0|true
零未注册工具执行痕迹（零外部写）|0|0|true
① 影子侧证据存在|yes|yes|true
① 两路同一 input snapshot（影子镜像 holmes 材料 hash）|3e8f815fbf6f52adafc3ae2c89d9951266983f0971466598c732740b9c720802|3e8f815fbf6f52adafc3ae2c89d9951266983f0971466598c732740b9c720802|true
② 影子 run 证据归属影子 run（隔离）|yes|yes|true
② 影子工具有独立账本行|yes|yes|true
② 账本行零串写（holmes 主链零工具账本行）|0|0|true
③ Holmes 报告落库|yes|yes|true
④ 影子 run 零发布（Candidate 增量 0）|0|0|true
④ 影子 run 零通知 outbox|0|0|true
⑤ 影子 run 零报告行（不切主结构面）|0|0|true
⑤ Holmes run 报告恰一行（未被影子推进）|1|1|true
幂等键零重复预留（不二扣）|0|0|true
预算零透支（consumed ≤ limit）|0|0|true
同型耗尽/熔断事件 digest 幂等（唯一可查）|0|0|true
Prometheus 断网期间 control 存活（DB 面可查）|1|1|true
恢复后零伪 SUCCESS（未知不写成成功）|0|0|true
零幽灵预算预留（run 不存在而预留悬挂）|0|0|true
零永久 RUNNING（到期明确终态）|0|0|true
